Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
vardas228 pavarde228 3 2 9 2 4 1 8 8 3 2 5 2 2 4 7 4
vardas229 pavarde229 9 7 7 4 6 3 4 8 3 7 6 7 9 1 3 3
vardas230 pavarde230 4 3 5 9 3 4 9 6 8 3 9 9 8 8 4 6
vardas231 pavarde231 4 10 1 9 2 7 6 6 3 3 2 3 6 7 6 9
vardas232 pavarde232 9 10 10 4 5 8 1 2 2 1 2 9 8 6 4 1
vardas233 pavarde233 7 7 2 9 3 9 6 5 4 10 7 9 6 2 9 6
vardas234 pavarde234 3 10 1 8 7 1 1 8 4 3 8 1 8 2 4 4
vardas235 pavarde235 8 7 4 10 7 10 6 10 9 2 8 6 4 9 1 8
vardas236 pavarde236 8 4 5 7 6 6 6 9 10 4 10 7 7 5 2 6
vardas237 pavarde237 1 8 7 7 9 2 7 9 3 6 4 8 4 6 6 2
vardas238 pavarde238 9 2 8 7 9 3 5 8 8 4 4 4 8 8 9 10
vardas239 pavarde239 7 5 7 5 6 5 3 1 10 8 8 6 5 5 7 6
vardas240 pavarde240 7 6 2 5 10 6 3 8 2 8 1 1 7 2 1 3
vardas241 pavarde241 6 9 7 4 3 1 4 2 10 3 7 7 8 5 2 4
vardas242 pavarde242 2 5 10 2 2 2 1 3 2 3 6 8 4 6 1 2
vardas243 pavarde243 6 9 7 8 2 10 1 3 4 10 9 1 4 2 6 8
vardas244 pavarde244 8 8 1 10 9 1 4 2 5 9 10 1 6 2 4 1
vardas245 pavarde245 2 10 10 3 1 1 8 4 10 8 7 5 10 4 4 9
vardas246 pavarde246 1 4 8 2 6 2 3 3 2 4 3 8 5 6 10 7
vardas247 pavarde247 5 10 1 5 2 8 10 1 6 6 7 7 2 1 5 2
vardas248 pavarde248 6 3 5 4 6 8 6 7 3 8 6 8 5 6 4 9
vardas249 pavarde249 7 4 5 8 2 4 10 9 2 8 5 3 10 9 6 6
vardas250 pavarde250 3 3 1 8 2 6 7 4 3 2 1 9 9 6 7 5
vardas251 pavarde251 10 3 4 3 8 3 3 9 3 7 3 2 7 1 9 10
vardas252 pavarde252 3 9 9 6 6 5 9 10 9 10 8 7 5 6 4 6
vardas253 pavarde253 8 7 10 6 2 2 6 6 10 1 7 7 3 8 8 7
vardas254 pavarde254 8 6 2 4 3 10 3 1 1 1 9 8 6 2 5 6
vardas255 pavarde255 1 5 1 4 8 8 9 8 8 5 4 2 4 1 8 2
vardas256 pavarde256 8 9 7 2 1 9 4 1 1 3 10 7 6 5 4 8
vardas257 pavarde257 1 6 1 8 3 9 5 3 6 8 4 9 10 2 2 10
vardas258 pavarde258 10 8 1 10 7 7 3 9 9 2 7 6 8 10 4 8
vardas259 pavarde259 5 6 6 8 5 10 2 10 10 5 10 1 6 2 2 8
vardas260 pavarde260 9 3 9 7 9 1 6 9 5 2 6 2 2 1 10 6
vardas261 pavarde261 7 7 5 3 6 6 2 7 1 1 10 8 4 1 7 3
vardas262 pavarde262 5 6 1 3 8 6 3 4 10 1 8 1 1 7 8 9
vardas263 pavarde263 5 5 1 2 10 2 9 2 5 10 2 8 10 8 2 5
vardas264 pavarde264 5 3 9 5 10 4 10 9 4 7 1 6 5 1 5 9
vardas265 pavarde265 5 5 1 4 9 1 8 5 10 9 4 9 8 6 5 5
vardas266 pavarde266 10 4 9 9 9 8 10 2 7 10 9 1 10 3 10 4
vardas267 pavarde267 10 10 10 8 10 7 4 1 7 7 9 4 4 6 8 3
vardas268 pavarde268 1 8 4 9 8 3 2 4 4 10 6 4 3 5 9 4
vardas269 pavarde269 6 10 3 7 8 6 7 4 2 8 10 6 3 9 10 3
vardas270 pavarde270 9 3 1 6 5 2 1 1 3 6 4 7 3 4 10 8
vardas271 pavarde271 6 2 5 3 9 3 9 3 10 10 10 2 10 9 6 8
vardas272 pavarde272 4 6 5 10 9 5 10 4 3 5 10 5 9 10 4 4
vardas273 pavarde273 3 10 8 4 3 6 6 4 7 5 8 7 5 3 4 8
vardas274 pavarde274 1 1 8 1 7 7 4 9 2 4 5 2 5 9 7 9
vardas275 pavarde275 8 6 2 10 4 9 4 10 5 3 6 10 5 2 9 5
vardas276 pavarde276 2 8 8 10 5 1 9 8 6 5 1 10 3 9 1 1
vardas277 pavarde277 4 2 2 7 3 7 7 7 9 4 8 6 5 7 2 8
vardas278 pavarde278 4 9 10 10 10 10 9 7 4 9 9 7 7 9 9 3
vardas279 pavarde279 2 2 9 4 9 7 1 9 1 8 4 7 6 6 7 10
vardas280 pavarde280 4 6 1 5 5 10 4 8 8 2 6 7 10 4 9 1
vardas281 pavarde281 8 9 7 6 6 9 4 6 8 10 2 4 5 8 5 10
vardas282 pavarde282 5 5 7 9 6 10 9 6 3 4 2 2 10 2 4 7
vardas283 pavarde283 10 2 4 5 10 9 2 8 10 4 1 4 3 7 6 10
vardas284 pavarde284 3 4 8 9 5 8 4 7 4 7 10 3 8 3 1 9
vardas285 pavarde285 5 6 4 6 6 5 3 6 10 5 1 5 1 6 4 6
vardas286 pavarde286 1 3 4 5 1 7 3 4 3 2 8 2 5 10 10 1
vardas287 pavarde287 7 5 6 2 2 1 7 3 7 8 7 10 5 2 5 6
vardas288 pavarde288 7 8 2 7 6 5 2 10 8 1 1 2 2 2 4 8
vardas289 pavarde289 7 2 9 8 4 8 2 10 5 1 9 1 2 5 8 8
vardas290 pavarde290 4 10 6 9 6 9 8 3 9 10 7 10 2 2 9 10
vardas291 pavarde291 5 8 9 8 5 10 10 1 10 10 1 4 5 9 3 8
vardas292 pavarde292 10 1 7 7 9 6 1 10 8 7 1 9 1 10 10 5
vardas293 pavarde293 9 8 3 5 9 2 5 9 1 7 4 7 7 6 5 8
vardas294 pavarde294 8 3 6 7 10 7 8 7 5 8 5 5 7 4 10 7
vardas295 pavarde295 3 4 1 2 7 7 2 9 6 5 6 2 2 2 2 10
vardas296 pavarde296 4 7 8 3 5 5 2 10 2 6 6 1 2 7 7 6
vardas297 pavarde297 10 8 7 8 4 10 7 9 6 4 3 8 7 6 9 2
vardas298 pavarde298 4 6 4 9 10 7 10 3 3 5 3 6 2 10 3 3
vardas299 pavarde299 7 2 1 2 1 9 3 7 4 7 6 10 4 4 1 7
vardas300 pavarde300 9 6 7 10 3 6 2 7 1 5 4 2 6 6 4 4
vardas301 pavarde301 7 6 5 10 4 9 6 9 7 1 8 10 6 8 7 4
vardas302 pavarde302 4 3 5 8 9 6 4 1 10 7 4 5 2 9 10 1
vardas303 pavarde303 5 5 10 10 5 5 9 2 7 6 1 2 6 9 7 1
vardas304 pavarde304 2 1 8 2 8 1 4 10 9 7 6 2 5 6 2 1
vardas305 pavarde305 10 1 1 6 7 1 7 5 6 8 8 3 8 4 3 9
vardas306 pavarde306 6 10 2 4 2 5 3 10 1 10 2 8 5 3 8 6
vardas307 pavarde307 6 8 2 4 8 8 9 6 7 6 8 5 2 3 5 7
vardas308 pavarde308 2 9 2 6 3 6 5 6 6 8 3 10 3 10 6 8
vardas309 pavarde309 10 7 1 9 6 1 6 5 7 6 1 8 8 5 6 1
vardas310 pavarde310 3 10 6 8 5 3 3 2 10 7 2 2 8 9 1 7
vardas311 pavarde311 7 4 8 2 4 3 8 2 10 8 1 7 3 7 8 7
vardas312 pavarde312 8 5 4 2 7 8 6 9 4 9 2 2 7 5 10 3
vardas313 pavarde313 8 7 6 3 2 6 5 1 3 5 8 5 3 7 4 10
vardas314 pavarde314 1 7 4 10 7 9 8 10 7 9 1 5 3 1 9 2
vardas315 pavarde315 9 6 5 10 1 1 3 4 7 10 10 2 8 3 1 10
vardas316 pavarde316 2 6 9 8 4 6 9 2 7 2 6 1 4 4 3 2
vardas317 pavarde317 10 9 4 10 1 6 3 7 7 5 8 4 7 1 5 10
vardas318 pavarde318 6 4 9 2 1 8 3 9 9 9 10 2 4 4 5 5
vardas319 pavarde319 2 10 5 4 5 9 10 3 3 10 8 2 10 3 3 7
vardas320 pavarde320 6 2 8 8 1 3 7 9 3 6 2 6 1 8 1 2
vardas321 pavarde321 8 7 7 4 7 6 7 10 7 6 3 8 8 5 7 5
